t,trans_err,rot_err
396.566,8.13438,0.159606
396.586,8.13438,0.159606
396.606,8.13438,0.159606
396.626,8.13438,0.159606
396.646,8.13438,0.159606
396.666,8.13438,0.159606
396.686,8.13438,0.159606
396.706,8.13438,0.159606
396.726,8.13438,0.159606
396.746,8.13438,0.159606
396.766,8.13438,0.159606
396.786,8.13438,0.159606
396.806,8.13438,0.159606
396.826,8.13438,0.159606
396.846,8.13438,0.159606
396.866,8.13438,0.159606
396.886,8.13438,0.159606
396.906,8.13438,0.159606
396.926,8.13438,0.159606
396.946,8.13438,0.159606
396.966,8.13438,0.159606
396.986,8.13438,0.159606
397.006,8.13438,0.159606
397.026,8.13438,0.159606
397.046,8.13438,0.159606
397.066,8.13438,0.159606
397.086,8.13438,0.159606
397.106,8.13438,0.159606
397.126,8.13438,0.159606
397.146,8.13438,0.159606
397.166,8.13438,0.159606
397.186,8.13438,0.159606
397.206,8.13438,0.159606
397.226,8.13438,0.159606
397.246,8.13438,0.159606
397.266,8.13438,0.159606
397.286,8.13438,0.159606
397.306,8.13438,0.159606
397.326,8.13438,0.159606
397.346,8.13438,0.159606
397.366,8.13438,0.159606
397.386,8.13437,0.159606
397.406,8.13437,0.159606
397.426,8.13437,0.159606
397.446,8.13437,0.159606
397.466,8.13437,0.159606
397.486,8.13437,0.159606
397.506,8.13437,0.159606
397.526,8.13437,0.159606
397.546,8.13437,0.159606
397.566,8.13437,0.159606
397.587,8.13437,0.159606
397.606,8.13437,0.159606
397.626,8.13437,0.159606
397.646,8.13437,0.159606
397.666,8.13437,0.159606
397.686,8.13437,0.159606
397.706,8.13437,0.159606
397.726,8.13437,0.159606
397.746,8.13437,0.159606
397.766,8.13437,0.159606
397.786,8.13437,0.159606
397.806,8.13437,0.159606
397.826,8.13437,0.159606
397.846,8.13437,0.159606
397.866,8.13437,0.159606
397.886,8.13437,0.159606
397.906,8.13437,0.159606
397.928,8.13437,0.159606
397.948,8.13437,0.159606
397.968,8.13437,0.159606
397.988,8.13437,0.159606
398.008,8.13437,0.159606
398.028,8.13437,0.159606
398.048,8.13437,0.159606
398.068,8.13437,0.159606
398.088,8.13437,0.159606
398.108,8.13437,0.159606
398.128,8.13437,0.159606
398.148,8.13437,0.159606
398.168,8.13437,0.159606
398.188,8.13437,0.159606
398.208,8.13437,0.159606
398.228,8.13437,0.159606
398.248,8.13437,0.159606
398.268,8.13437,0.159606
398.288,8.13437,0.159606
398.308,8.13437,0.159606
398.328,8.13437,0.159606
398.348,8.13437,0.159606
398.368,8.13437,0.159606
398.388,8.13437,0.159606
398.408,8.13437,0.159606
398.428,8.13437,0.159606
398.448,8.13437,0.159606
398.468,8.13437,0.159606
398.488,8.13437,0.159606
398.508,8.13437,0.159606
398.528,8.13437,0.159606
398.548,8.13437,0.159606
398.568,8.13437,0.159606
